id,title,family,kind,sections,script_lines,primary_file,all_exports,duration_s,dimensions,variants,segment,credits,release_eligibility,editor_notes
FACT-07,"Four recorded runs: rounds, wars, winner",facts,still,11,,assets/facts/FACT-07/exports/poster.png,"contact-sheet.png, highlight.png, poster.png, table.png",,1920x1080,"table, highlight",,,cleared,
HIST-19,Windows 3.1 Solitaire,historical,archive,12,579,assets/historical/HIST-19/exports/editorial-frame.png,editorial-frame.png,,1920x1080,"original, editorial-frame",,"Screenshot: Matthew Paul Argall, via Internet Archive (archive.org/details/solitaire-windows-3.1). Microsoft Windows 3.1 and Microsoft Solitaire are products of Microsoft Corporation. | Used with permission from Microsoft.",cleared,
HIST-20,Windows 95 Solitaire,historical,archive,12,579,assets/historical/HIST-20/exports/editorial-frame.png,editorial-frame.png,,1920x1080,"original, editorial-frame",,,cleared,
XTRA-18,Period Windows Hearts screenshot,historical,archive,12,579,assets/historical/XTRA-18/exports/editorial-frame.png,editorial-frame.png,,1920x1080,"original, editorial-frame",,"Microsoft Hearts, Microsoft Windows for Workgroups 3.11. Used with permission from Microsoft. Screenshot: Nathan Lineback, Toasty Technology GUI Gallery (toastytech.com).",cleared,
XTRA-19,Period Windows FreeCell screenshot,historical,archive,12,579,assets/historical/XTRA-19/exports/editorial-frame.png,editorial-frame.png,,1920x1080,"original, editorial-frame",,Microsoft FreeCell and Tut's Tomb (Microsoft Entertainment Pack 2) on Windows 3.x. © Microsoft Corporation. Screenshot via WinWorld (winworldpc.com).,cleared,
MOCK-01,VB4-style War GUI on green felt,mockups,still,12,589,assets/mockups/MOCK-01/exports/poster.png,"annotated.png, concept.png, contact-sheet.png, poster.png",,1920x1080,"concept, annotated",,,cleared,Concept mockup of a GUI that never existed; labeled 'This is what you'd build next'.
HIST-17,TUCOWS archived site circa 1996,historical,archive,12,595,assets/historical/HIST-17/exports/editorial-frame.png,editorial-frame.png,,1920x1080,"original, editorial-frame",,"TUCOWS home page, 22 October 1996 (© 1996 Scott A. Swedorski / TUCOWS) | Internet Archive Wayback Machine, capture 19961022175612",cleared,
HIST-18,Download.com archived site circa 1996,historical,archive,12,595,assets/historical/HIST-18/exports/editorial-frame.png,"editorial-frame.png, original.png",,1920x1080,"original, editorial-frame",,"download.com home page, © 1996 CNET Inc. Archived by the Internet Archive Wayback Machine, 21 December 1996.",cleared,
XTRA-20,Period BBS file listing,historical,archive,12,595,assets/historical/XTRA-20/exports/editorial-frame.png,editorial-frame.png,,1920x1080,"original, editorial-frame",,,cleared,
MOCK-02,1996 download dialog: 9:42 remaining,mockups,motion,12,599,assets/mockups/MOCK-02/exports/preview.mp4,"contact-sheet.png, eta-hold.png, poster.png, preview.mp4, slow-progress.png",9,1920x1080,"eta-hold, slow-progress",,,cleared,"Illustrative 1996 download dialog; the 9:42 figure is the script's, not a measurement."
CH-12,Chapter 12: What This Code Would Have Become,chapters,motion,12,,assets/chapters/CH-12/exports/preview.mp4,"chapter-hold.png, chapter-motion.png, contact-sheet.png, poster.png, preview.mp4",4,1920x1080,"chapter-hold, chapter-motion",,,cleared,
FACT-06,The runtime was part of the download story,facts,still,12,,assets/facts/FACT-06/exports/poster.png,"contact-sheet.png, factoid.png, poster.png",,1920x1080,factoid,,,cleared,
FACT-08,Two endgames side by side: run 1 and run 4,facts,still,12,,assets/facts/FACT-08/exports/poster.png,"comparison.png, contact-sheet.png, poster.png, step-focus.png",,1920x1080,"comparison, step-focus",,,cleared,
XTRA-08,1995 tools class-photo lineup,stills,still,13,609,assets/stills/XTRA-08/exports/poster.png,"contact-sheet.png, lineup.png, poster.png, vb-focus.png",,1920x1080,"lineup, vb-focus",,,cleared,
REF-01,Representative MFC message-map snippet,reference-code,code,13,617,assets/reference-code/REF-01/exports/preview.mp4,"clean.png, contact-sheet.png, poster.png, preview.mp4, teaching-focus.png",16,1920x1080,"clean, teaching-focus",,,cleared,
HIST-12,Borland Delphi 1.0 IDE,historical,archive,13,621,assets/historical/HIST-12/exports/editorial-frame.png,editorial-frame.png,,1920x1080,"original, editorial-frame",,"Borland International, Inc. - Delphi 1.0 Reviewer's Guide (1995), via the Internet Archive Wayback Machine",cleared,444×282 Borland GIF shown at an exact 3× integer upscale on a matte; period pixel structure is intentional.
HIST-15,PowerBuilder DataWindow,historical,archive,13,627,assets/historical/HIST-15/exports/editorial-frame.png,editorial-frame.png,,1920x1080,"original, editorial-frame",,,cleared,
HIST-16,Java AWT application,historical,archive,13,631,assets/historical/HIST-16/exports/editorial-frame.png,editorial-frame.png,,1920x1080,"original, editorial-frame",,"The Java Tutorial, © 1995 Sun Microsystems, Inc. (now Oracle). “AWT Components” example window. | “AWT at Linux” by Sven, Wikimedia Commons, public domain | “Easy Java AWT example” by Fiete Groth, Wikimedia Commons, public domain",cleared,
CH-13,Chapter 13: VB vs. The Competition in 1995,chapters,motion,13,,assets/chapters/CH-13/exports/preview.mp4,"chapter-hold.png, chapter-motion.png, contact-sheet.png, poster.png, preview.mp4",4,1920x1080,"chapter-hold, chapter-motion",,,cleared,
DIA-11,1995 development tools comparison,diagrams,still,13,,assets/diagrams/DIA-11/exports/poster.png,"contact-sheet.png, full-comparison.png, poster.png",,1920x1080,full-comparison,,,cleared,
HIST-21,System 7 desktop,historical,archive,14,639,assets/historical/HIST-21/exports/editorial-frame.png,editorial-frame.png,,1920x1080,"original, editorial-frame",,"Photo: RetroEditor / Wikimedia Commons, CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0/). Resized and pillarboxed. | Apple, Macintosh, and Mac OS are trademarks of Apple Inc. The System 7.5.5 interface is (c) Apple Computer, Inc.; not covered by the photo license. See evidence/rights.json.",cleared,"Macintosh Classic II on System 7.5.5 photographed in 2019 (CC BY-SA 4.0, credit required)."
XTRA-09,Mid-1990s Macintosh hardware,historical,archive,14,639,assets/historical/XTRA-09/exports/editorial-frame.png,editorial-frame.png,,1920x1080,"original, editorial-frame",,,cleared,"Performa 630CD (1994 model) photo, CC BY 4.0 (credit required)."
XTRA-10,VB-for-Mac claim visual: evidence-gated decision,stills,still,14,647,assets/stills/XTRA-10/exports/poster.png,"approved-visual.png, contact-sheet.png, poster.png",,1920x1080,approved-visual,,,cleared,Text card ('Product Not Found'); the narration now says VB for Mac never shipped and names QuickBASIC for Mac.
HIST-13,Metrowerks CodeWarrior IDE,historical,archive,14,651,assets/historical/HIST-13/exports/editorial-frame.png,editorial-frame.png,,1920x1080,"original, editorial-frame",,"Screenshot from Dan Parks Sydow, Metrowerks CodeWarrior Programming for the Mac (M&T Books, 1995), p. 43. CodeWarrior © Metrowerks. Scan: vintageapple.org. | Crop and layout by this production; no pixels redrawn.",cleared,
HIST-14,NeXT Cube product photograph,historical,archive,14,655,assets/historical/HIST-14/exports/editorial-frame.png,editorial-frame.png,,1920x1080,"original, editorial-frame",,"Photograph by Rama & Musée Bolo, Wikimedia Commons, CC BY-SA 2.0 FR (https://creativecommons.org/licenses/by-sa/2.0/fr/). Framed for video (scaled, matted; no crop).",cleared,"NeXTcube at Musée Bolo, CC BY-SA 2.0 FR (credit required)."
DIA-12,Windows VB4 versus Mac CodeWarrior table,diagrams,motion,14,659,assets/diagrams/DIA-12/exports/preview.mp4,"contact-sheet.png, full-table.png, full.png, gui-row-focus.png, poster.png, preview.mp4, row-console.png, row-gui.png",6.0,1920x1080,"row-console, row-gui, full, full-table, gui-row-focus, reveal",,,cleared,
CH-14,Chapter 14: What If You Were on a Mac?,chapters,motion,14,,assets/chapters/CH-14/exports/preview.mp4,"chapter-hold.png, chapter-motion.png, contact-sheet.png, poster.png, preview.mp4",4,1920x1080,"chapter-hold, chapter-motion",,,cleared,
XTRA-11,Documented VB business application,historical,archive,15,687,assets/historical/XTRA-11/exports/editorial-frame.png,editorial-frame.png,,1920x1080,"original, editorial-frame",,"INVOICE-IT for Windows (Eastern Digital Resources, 1993). Screenshot: Internet Archive Software Library, item MEDLEY_SEC90034.",cleared,"INVOICE-IT (1993, VB 2.0) captured in a 2016 emulator; the date field shows 02-27-2016. Never caption as a mid-90s capture."
XTRA-12,Documented VB data-entry application,historical,archive,15,687,assets/historical/XTRA-12/exports/editorial-frame.png,editorial-frame.png,,1920x1080,"original, editorial-frame",,,cleared,"Microsoft VB6 documentation figure (December 1998), shown whole and uniformly scaled with the Microsoft credit."
XTRA-13,Documented VB utility application,historical,archive,15,687,assets/historical/XTRA-13/exports/editorial-frame.png,editorial-frame.png,,1920x1080,"original, editorial-frame",,"Karen's Window Watcher (Visual Basic 6), screenshot © Karen Kenworthy, karenware.com — via Internet Archive Wayback Machine",cleared,Karen's Window Watcher (VB6) on Windows XP; status bar shows 9/3/2003. Never caption as mid-90s.
XTRA-14,Real-world VB application collage,stills,still,15,687,assets/stills/XTRA-14/exports/poster.png,"collage.png, contact-sheet.png, focus-business.png, focus-data-entry.png, focus-utilities.png, poster.png",,1920x1080,"collage, focus-business, focus-data-entry, focus-utilities",,,cleared,"Prefer the collage variant; the focus variants show legible in-image dates (2016 emulator, 1998 doc figure, 2003 XP capture). Per-panel credits are burned in; the Microsoft 'Used with permission' line must stay on screen."
XTRA-15,Windows XP office / legacy VB6 scene,stills,still,15,693,assets/stills/XTRA-15/exports/poster.png,"contact-sheet.png, legacy-scene.png, poster.png",,1920x1080,legacy-scene,,,cleared,"Authored reconstruction (XP desktop around an INVOICE-IT, VB 2.0 window). The red RECONSTRUCTION label must stay in frame; the app's own date field reads 02-27-2016."
XTRA-16,VB6-to-.NET migration wizard,historical,archive,15,699,assets/historical/XTRA-16/exports/editorial-frame.png,editorial-frame.png,,1920x1080,"original, editorial-frame",,"Screenshot: Microsoft Corporation, from ""Deconstructing the Visual Basic Upgrade Wizard"" by Bill Sempf (MSDN, March 2006), Figure 1. © Microsoft Corporation. | Frame, caption wording and layout by this production; Segoe UI is an installed system font, not distributed.",cleared,
XTRA-17,Save VB6 petition or advocacy page,historical,archive,15,703,assets/historical/XTRA-17/exports/editorial-frame.png,editorial-frame.png,,1920x1080,"original, editorial-frame",,"classicvb.org petition page, captured 12 March 2005 by the Internet Archive Wayback Machine (web.archive.org/web/20050312064351/http://classicvb.org/petition/)",cleared,
DIA-13,Visual development lineage / influence graphic,diagrams,still,15,711,assets/diagrams/DIA-13/exports/poster.png,"contact-sheet.png, overview.png, poster.png",,1920x1080,overview,,,cleared,
CH-15,Chapter 15: Why VB Mattered (and Why It Died),chapters,motion,15,,assets/chapters/CH-15/exports/preview.mp4,"chapter-hold.png, chapter-motion.png, contact-sheet.png, poster.png, preview.mp4",4,1920x1080,"chapter-hold, chapter-motion",,,cleared,
HIST-03,VB 6.0 IDE,historical,archive,15,,assets/historical/HIST-03/exports/editorial-frame.png,editorial-frame.png,,1920x1080,"original, editorial-frame",,"Microsoft Visual Basic 6.0 documentation, Figure 2.1 ""The Visual Basic integrated development environment"". (c) Microsoft Corporation. Used with permission from Microsoft.",cleared,
CARD-02,"Outro end card: subscribe, like, next video",cards,motion,16,739,assets/cards/CARD-02/exports/preview.mp4,"clean-end-card.png, contact-sheet.png, end-card-motion.png, poster.png, preview.mp4",12,1920x1080,"clean-end-card, end-card-motion",,,cleared,
CH-16,Chapter 16: Outro,chapters,motion,16,,assets/chapters/CH-16/exports/preview.mp4,"chapter-hold.png, chapter-motion.png, contact-sheet.png, poster.png, preview.mp4",4,1920x1080,"chapter-hold, chapter-motion",,,cleared,
CODE-29,"Reads like English: If PlayerScore > HighScore Then, For Each Item In Collection",code,code,16,,assets/code/CODE-29/exports/poster.png,"clean.png, contact-sheet.png, gloss.png, poster.png",,1920x1080,"clean, gloss",,,cleared,
